发文时间,留言者昵称,留言内容,留言字数,留言时间,距离发文/min
2020-08-30 15:27:06,吴佩伦,沙发,2,2020-08-30 18:20:05,173
2020-08-30 15:27:06,石头@阿里云-招开发,"第一次搞抽奖活动，祝大家好运，听说一键三连能大大增加中奖概率。[阴险]
记得添加微信 codershitou 领奖(先加上吧，反正中奖了不得联系给邮寄地址么[偷笑])",83,2020-08-30 18:20:56,174
2020-08-30 15:27:06,Now or Never,毕业了想去阿里云工作[加油加油] 希望能提前学习这本好书,28,2020-08-30 18:29:16,183
2020-08-30 15:27:06,热心网友,石头哥好~,5,2020-08-30 18:37:41,191
2020-08-30 15:27:06,陈良良,这本书的弹性计算式阿里云的ecs服务吗？感觉这本书很不错,28,2020-08-30 18:38:25,192
2020-08-30 15:27:06,彭佳,书买早了[捂脸],8,2020-08-30 18:41:27,195
2020-08-30 15:27:06,Yes,是我嘛？,4,2020-08-30 18:58:30,212
2020-08-30 15:27:06,若要走,计算一下我中奖的概率[Grin],16,2020-08-30 19:06:06,219
2020-08-30 15:27:06,😄 廖鹏翔🙃,是时候补充一波知识了,10,2020-08-30 19:05:48,219
2020-08-30 15:27:06,迗҉道҉酬҉懃҉,赞石头，中大奖,7,2020-08-30 19:34:00,247
2020-08-30 15:27:06,落尘,看完全文[旺柴],8,2020-08-30 19:48:51,262
2020-08-30 15:27:06,un,这么少的评论，那中奖的概率蛮大的啊[吃瓜],21,2020-08-30 19:48:12,262
2020-08-30 15:27:06,顺其自然,我才不是想中奖🌟,9,2020-08-30 20:28:02,301
2020-08-30 15:27:06,Chen,从概率学来说，人少中奖率就高[得意]如果我中奖了基本就是因为我比较帅的原因[白眼],41,2020-08-30 22:14:41,408
2020-08-30 15:27:06,_is_eric,管他呢，先占楼再说,9,2020-08-30 22:29:02,422
2020-08-30 15:27:06,断桥残雪,我就想单纯的留个言,9,2020-08-30 22:30:52,424
2020-08-30 15:27:06,MC,这是要免费的节奏,8,2020-08-30 22:47:38,441
2020-08-30 15:27:06,枫,学习，中大奖！,7,2020-08-30 22:47:27,441
2020-08-30 15:27:06,旅途,"嘻嘻，我知道，我必中
[Doge][Doge]",23,2020-08-30 22:49:37,443
2020-08-30 15:27:06,周平,感谢活动，求中奖,8,2020-08-30 22:50:20,444
2020-08-30 15:27:06,哎呦喂,这本书很不错，抽奖活动更不错。,15,2020-08-30 22:55:39,449
2020-08-30 15:27:06,阿尧yaoyao,我竟然觉得我能看懂，我是不是飘了,16,2020-08-30 23:31:16,485
2020-08-30 15:27:06,疾风步行者,哇哦，很高啊,6,2020-08-30 23:33:43,487
2020-08-30 15:27:06,Alice,求中奖,3,2020-08-30 23:50:49,504
2020-08-30 15:27:06,凛,一直觉得阿里云很牛逼，一直想好好学云计算，希望得到这本书[加油],32,2020-08-31 00:36:05,549
2020-08-30 15:27:06,粪球,我也想中奖，这次的送书活动看我是不是炮灰[流泪],24,2020-08-31 04:07:28,761
2020-08-30 15:27:06,L&N,我想要书。,5,2020-08-31 09:26:46,1080
2020-08-30 15:27:06,惰性中微子,中奖,2,2020-08-31 11:40:51,1214
2020-08-30 15:27:06,张云一,我自己买一本[吃瓜],10,2020-08-31 13:45:04,1338
2020-08-30 15:27:06,晨晨,我不信我能中奖！(手动狗头),14,2020-08-31 14:07:00,1360
2020-08-30 15:27:06,江左君,我来抽奖了，肯定是我了！,12,2020-08-31 14:13:46,1367
2020-08-30 15:27:06,沉默王二,给力,2,2020-08-31 15:26:50,1440
2020-08-30 15:27:06,lemon,三连支持一下,6,2020-08-31 18:04:40,1598
2020-08-30 15:27:06,吕莎莎,就凭石头大佬长的这么帅，奖品也一定是我的啦，你们都不用排啦[害羞][害羞][害羞],41,2020-08-31 18:06:28,1600
2020-08-30 15:27:06,flipped,分母预定,4,2020-08-31 18:10:45,1604
2020-08-30 15:27:06,枫叶,看看我的运气怎么样哈,10,2020-08-31 18:10:35,1604
2020-08-30 15:27:06,好好滴,未来就是ai的天下！早日上车，防止被淘汰,20,2020-08-31 18:21:59,1615
2020-08-30 15:27:06,小辰,是我嘛，哈哈哈哈/::>,12,2020-08-31 18:21:50,1615
2020-08-30 15:27:06,皓,中奖绝缘体不断尝试中。。。,13,2020-08-31 18:22:26,1616
2020-08-30 15:27:06,张翼然,可能是我[呲牙][呲牙],12,2020-08-31 18:23:54,1617
2020-08-30 15:27:06,Le voleur d'ombres,试试看[害羞],7,2020-08-31 18:34:22,1628
2020-08-30 15:27:06,金彭彭,抽我抽我[奸笑],8,2020-08-31 18:37:07,1631
2020-08-30 15:27:06,小超,希望能抽中我😝,8,2020-08-31 18:41:06,1634
2020-08-30 15:27:06,Cancer,中,1,2020-08-31 18:44:01,1637
2020-08-30 15:27:06,*Yuan♞♚,求书，对云计算感兴趣，希望有天加入阿里云。,21,2020-08-31 18:45:10,1639
2020-08-30 15:27:06,王毛豆,希望中奖[转圈],8,2020-08-31 19:12:46,1666
2020-08-30 15:27:06,Charles,中奖绝缘体来报道了[呲牙],13,2020-08-31 19:44:46,1698
2020-08-30 15:27:06,Dimple,讲真，我是看内容，不是冲着抽奖来的噢,18,2020-08-31 20:08:00,1721
